epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,274.568,0.32521,0.35018,0.80741,0.88419,0.89885,0.92509,0.81137,0.5177,0.75105,0.97379,0.00016167,0.00016167,0.00016167
53,279.704,0.2834,0.30316,0.83076,0.88419,0.89885,0.92509,0.81137,0.5177,0.75105,0.97379,0.00014768,0.00014768,0.00014768
54,285.14,0.30593,0.34261,0.8221,0.79954,0.94118,0.89647,0.78643,0.49087,0.76867,0.97196,0.00013303,0.00013303,0.00013303
55,290.476,0.29699,0.30921,0.79048,0.79954,0.94118,0.89647,0.78643,0.49087,0.76867,0.97196,0.00011772,0.00011772,0.00011772
56,296.311,0.31314,0.35425,0.81789,0.79954,0.94118,0.89647,0.78643,0.49087,0.76867,0.97196,0.00010175,0.00010175,0.00010175
57,307.622,0.27412,0.30115,0.78719,0.83265,0.87826,0.86142,0.75461,0.47773,0.76288,0.97198,8.512e-05,8.512e-05,8.512e-05
1,12.4157,1.35376,2.43838,1.41771,0.4616,0.62963,0.62512,0.51735,0.55692,1.53608,1.01589,0,0,0
58,318.245,0.28584,0.32464,0.82714,0.83265,0.87826,0.86142,0.75461,0.47773,0.76288,0.97198,6.783e-05,6.783e-05,6.783e-05
2,23.9754,1.31967,2.34622,1.40896,0.54197,0.65759,0.6885,0.58059,0.53263,1.44874,1.00329,1.967e-05,1.967e-05,1.967e-05
59,328.027,0.28086,0.30466,0.81292,0.83265,0.87826,0.86142,0.75461,0.47773,0.76288,0.97198,4.988e-05,4.988e-05,4.988e-05
3,34.598,1.18469,2.03897,1.35061,0.74628,0.654,0.7894,0.66974,0.51553,1.32089,0.98668,3.868e-05,3.868e-05,3.868e-05
60,336.559,0.29812,0.32531,0.80606,0.75629,0.94118,0.846,0.74885,0.47042,0.76778,0.97075,3.127e-05,3.127e-05,3.127e-05
4,43.7691,0.96272,1.71385,1.23487,0.68041,0.88889,0.86411,0.7366,0.51884,1.29022,1.0069,5.703e-05,5.703e-05,5.703e-05
5,50.1221,0.88909,1.32923,1.14233,0.81478,0.88889,0.9292,0.78444,0.45993,1.42604,0.96634,7.472e-05,7.472e-05,7.472e-05
6,56.1464,0.79246,1.04932,1.07773,0.83644,1,0.97118,0.81881,0.44883,1.61308,0.94851,9.175e-05,9.175e-05,9.175e-05
7,62.23,0.68362,0.81259,0.9864,0.84316,1,0.99145,0.83213,0.47602,1.70252,0.94979,0.00010812,0.00010812,0.00010812
8,68.3946,0.62641,0.96696,1.04015,0.89753,1,0.995,0.81883,0.47328,1.57157,0.93901,0.00012383,0.00012383,0.00012383
9,74.4103,0.59743,0.71571,0.96087,0.96813,1,0.995,0.83036,0.44575,1.50193,0.92242,0.00013888,0.00013888,0.00013888
10,80.7045,0.58903,0.67027,0.97018,0.94424,1,0.995,0.87573,0.41336,1.48045,0.9196,0.00015327,0.00015327,0.00015327
11,86.8676,0.54519,0.65406,0.9605,0.9305,0.99192,0.99293,0.91094,0.40906,1.29534,0.91852,0.000167,0.000167,0.000167
12,93.2042,0.48273,0.55818,0.89252,0.93157,1,0.995,0.91927,0.39749,1.15208,0.91767,0.00018007,0.00018007,0.00018007
13,99.5705,0.53406,0.52904,0.92635,0.97454,1,0.995,0.90497,0.39539,1.12341,0.91694,0.00019248,0.00019248,0.00019248
14,105.638,0.49668,0.48324,0.91206,0.99135,1,0.995,0.92891,0.38956,1.00734,0.90874,0.00020423,0.00020423,0.00020423
15,112.019,0.47715,0.50549,0.8944,0.99258,1,0.995,0.9382,0.38377,0.80407,0.90583,0.00021532,0.00021532,0.00021532
16,118.135,0.49874,0.53736,0.89635,1,0.98411,0.995,0.9212,0.4076,0.68361,0.91105,0.00022575,0.00022575,0.00022575
17,124.091,0.47115,0.43641,0.89419,0.99466,1,0.995,0.90834,0.42839,0.69234,0.9172,0.00023552,0.00023552,0.00023552
18,130.391,0.48737,0.60737,0.94606,0.99466,1,0.995,0.90834,0.42839,0.69234,0.9172,0.00024463,0.00024463,0.00024463
19,136.512,0.48749,0.43437,0.8702,0.99669,1,0.995,0.91335,0.40885,0.75951,0.90518,0.00025308,0.00025308,0.00025308
20,142.453,0.51652,0.43908,0.89572,0.99669,1,0.995,0.91335,0.40885,0.75951,0.90518,0.00026087,0.00026087,0.00026087
21,148.373,0.538,0.52492,1.01452,0.99804,1,0.995,0.9042,0.39156,0.77046,0.888,0.000268,0.000268,0.000268
22,154.576,0.43281,0.40806,0.88735,0.99804,1,0.995,0.9042,0.39156,0.77046,0.888,0.00027447,0.00027447,0.00027447
23,160.481,0.48336,0.45275,0.93829,0.99797,1,0.995,0.92772,0.37147,0.61137,0.86877,0.00028028,0.00028028,0.00028028
